VBG,NNS,TO,RBS,DT,XX,VBD,VBN,JJ,WP,CC,EX,PDT,PRP$,CD,WDT,_SP,IN,WP$,RP,NNPS,LS,WRB,JJR,FW,RBR,'',POS,ADD,VB,JJS,UH,VBZ,PRP,NN,VBP,MD,NNP,RB,depression
0,1,1,0,2,0,0,1,0,0,1,0,0,1,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,3,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,1,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1
0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,3,2,1,1,0,1
0,1,1,0,3,0,3,0,4,2,3,0,0,0,0,0,0,3,0,2,0,0,5,0,0,0,0,0,0,5,1,1,2,12,5,10,0,3,9,1
2,10,4,0,8,0,1,1,8,1,4,1,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,4,7,7,0,0,8,1
1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1
0,3,0,0,4,0,1,1,2,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4,1,3,1,0,4,1
0,1,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,1,0,1,0,1,1
4,2,1,0,2,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,1,1,1,0,4,1
2,4,2,0,5,0,1,0,2,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,2,1,4,4,5,5,0,3,3,1
0,4,0,0,8,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,1,6,1,1,0,0,1
